Twitter,Twitter_Verified,ETH_Address,Debank_Follower_Count,Base_Address,TVF,Net_Worth
SylvioErnesto,True,0xe6d5167b0f3676d5b9dab68fb3d50304eb5bc09d,1071,,4075619,3122
dragoncrip,False,0xb9d94a3b9b7281ed261005407c9edd72f0a9c54e,767,,529625,1181
FarmThemAll,True,0xe3933a68c04a685a6088b207e226482f23d13ca0,1083,0xd9f71978504189598085fe822947f154f5d2cafc,1232443,2978
jozzangzzangman,False,0x40e35ec24e4a69c3407aae5ecc292a209605986a,762,,2328079,15988
slav0nbro,False,0x6bc3e7b5010f588cfe347473c610b9a5d363e140,212,,2990089,31322
Goofoff_mp0,False,0xf62bdafc4cb3808346c5854c0fd129f2a22c02e0,859,,7949247,218770
dgryuner,True,0xf7d9d04f9f7db2573201c8433a37042ab25f87f5,1015,,60240320,443
nimarazaV,True,0x23aae43059e2d11b0e3bee974d8ba733013b3e7f,405,,1660824,1998
0XHao1,True,0xa2b31a9e5d89026abe81cfa6751bbe42be2bfe3f,174,,506843,7611
2treeeth,True,0xf1609d95ffc868c52e166405bc666f6c9ab9fc0f,1020,,1967660,2187
TonyGolden37,True,0xdba30f92948ff2a9a009bf3bd56ef001081aeccd,393,,1273877,5777
miraikenken,True,0x3c173e3d1e6eaf8f697daea05a39ff0c067743a4,648,,8269653,4651
jeeg0x,True,0x2282bc8e090439a0195e0c862ae3ffc47bd2edd8,177,,702555,14749
codecD7,True,0xe4858769da34b4ad54dae96549ebd3ea45762f78,182,0x04398e2d05a973a31e96b2b9047928203da821e0,1154118,1803
meisterpetz_,True,0x6e054b0b80fd06ada55eaaf09c625e7d2833d9a6,258,,532790,1003
sus1in,True,0xf8e8deda67cfb656cc067a42e170b5ea852111d5,415,,40271971,8626
c0nt3mp7,False,0x20197bef251be2a7932dcd7cb2b341c8e31e095e,157,0x7c2cb2d9f8f7d33883c14b03f38328f0ecb7c033,1157573,781
thevscrypto,False,0x0710ee20cb035b50f6aedf58bf37b8dbd842f1ed,430,,2133820,3621
marketer_dima,True,0x9ace89305ee686055b8f0064091fbcbe1e194697,4147,,2440289,1325
0xdeepmouse,True,0x93242bb2b8f429a21c8d194ad88e7c4745e395a1,1653,,921906,2653
dabar_90,True,0x23b6d8e09cb33b1550de19ac25cc3f41ae4603bb,154,0x91765c2b53a3029c65f6d7ea61328e29d36437ee,577684,2656
Think_yourseIf,True,0x817358128f1a743369c24234e6b74e1413cd84b2,939,0xa11f7080f6aa0fd85fa45aa34b9b428fa70a8baa,78514433,915
