"HolderAddress","Balance","PendingBalanceUpdate"
"0x772d8d6e4a4a5251d7a174e3f60e3f954b386af0","2,168,199,217","No"
"0xef8801eaf234ff82801821ffe2d78d60a0237f97","41,102,206.064405669686487629","No"
"0xa62d7fb94780ef6326ac217357225a9687074d44","40,000,000.290000001580138496","No"
"0xb3a1cbdb65da2662e8e95710f33247387059344d","25,515,922.951837109542650062","No"
"0x510100d5143e011db24e2aa38abe85d73d5b2177","22,450,866.532293887021740948","No"
"0xcbe114cc845cf58d3eada944335612e8df99fe7f","21,373,656.339038101779399668","No"
"0xaa7577a7a27aa7fcf6d0ec481b87df3ad0f6a88e","15,000,000","No"
"0x90aa61fb73812ff0e5a31353440a245a9c612abb","14,650,000.000000000801112064","No"
"0x9edae23b7ac05326e8a24c1798e3620ac3b90ade","14,634,893.053018749913858468","No"
"0x3157e15e15fd41d6a9c5df255c71506f160db67c","13,595,633.450818161998976557","No"
"0xaa945599e60ab5f634d274087f0cec7fc6d50c87","12,305,833.318510752504344669","No"
"0x2bf3c0874999b7178f68d5859dbd56ffc5a52bba","11,530,027.07206612550512301","No"
"0x32648075ecd353767da2fafef3c56a4283567f12","11,038,552.11409333926922085","No"
"0x85c19f918b8e98e4c20cac805d8f2a64c1360fae","10,939,000.000000000348127232","No"
"0x4125533e8c48385320069793c463dc554c77a398","10,798,273.07502436261711976","No"
"0x6f90f1b9f479db5f3e4fc9b254b62efce7be01ab","10,436,098.525874195567799874","No"
"0x7805a78a3ad50d460efabf32562d1884c3d0259a","10,431,924.687838608098663615","No"
"0x2322e5517a3cbc75a3f02d74c96f82dda120d841","10,067,902.184722414625281165","No"
"0x33676385160f9d8f03a0db2821029882f7c79e93","9,908,569.543574542579173126","No"
"0x5766fabeba5aa4071a3e79f23dc388cfb4d5addc","9,500,000","No"
"0x117774e0b70b75ad8d10527d278cb017c04bf970","9,075,982.16886237847832285","No"
"0xaebd5bbddb31c7800a59cfd7382abca3878cd1ea","8,232,235.370631764272182292","No"
"0xa23f54e0bb57a6114d831c080823f5fe2616cf98","8,000,000.000000000000000001","No"
"0xc4b2678648bd3d861803dbabbc80a00a22e1e1e1","7,999,999.996","No"
"0xc4aaf4a53a8d26b2e2050b6a0bda82d056089cf2","7,387,798.725299854086133166","No"
"0xc6e57778d14cf5a2131a619205aa8ece1ed1bc2d","6,999,979.999999999678087168","No"
"0x942f2d75e01fa5eaf9e127b22326c12311ac5bc1","6,915,275.424050112691219604","No"
"0x6af2342535ae6adf918354c1ca94ca7b638ae38a","6,761,351.734764317036251079","No"
