"HolderAddress","Quantity","PendingBalanceUpdate"
"0x29469395eaf6f95920e59f858042f0e28d98a20b","486","No"
"0x227c7df69d3ed1ae7574a1a7685fded90292eb48","422","No"
"0x398d282487b44b6e53ce0aebca3cb60c3b6325e9","150","No"
"0xc8c9771b59f9f217e8285889b9cdd7b9ddce0e86","137","No"
"0xcf3e932f72e5f15411d125ad80579a3ef205b9b4","132","No"
"0xa996d391f64158fb17fb71d6a4fad67df7410895","117","No"
"0x2d50bf6334152dbda8bed2f50e5a0d8456bd47b3","103","No"
"0x9a20cfcdc25eab32b8d21fbf8dab66f2658b791e","102","No"
"0x76bbd639c87aac623aad1c3b648e6187a9392dea","100","No"
"0xa580bfa51f601abaf1ac4d95c4979a9a8490503a","95","No"
"0xdda32416e87c475a0bcbc6c2e74190e7c49c1e5f","88","No"
"0x67d21ebd269d61ef8cd9f0f3698869b3d818a4b5","73","No"
"0x4a2c786651229175407d3a2d405d1998bcf40614","69","No"
"0x3673c68cf3bb69bc28d10dde689efb964d94162b","69","No"
"0xbe4f0cdf3834bd876813a1037137dcfad79acd99","67","No"
"0xb4d7b67215fbf3b44acbc8a660004b1ada5f6229","63","No"
"0xb35248feeb246b850fac690a1beaf5130dc71894","60","No"
"0x53dda1c53e09b87cc70e8c7d30362b1377aa887d","56","No"
"0x532ee831bb3c2bbe6f60f4fd523f912699152905","50","No"
"0xc7598e5f348a33cd8d5e5ef087f59305255960c2","49","No"
"0xb88f61e6fbda83fbfffabe364112137480398018","49","No"
"0xd6813048eaed9dc064fd08eeea408a7ec4df0021","45","No"
"0xdc6634879cef6ed24ef0273daa4a12b34e3d09cc","45","No"
"0x9cbf099ff424979439dfba03f00b5961784c06ce","44","No"
"0x4a4d944301507a175824de2dae490e9aeca5c347","39","No"
"0xca41a5fccf73d0793bdf8657ed4010ec40f10f2c","39","No"
"0x2b5608e6fa1385bea6ef5408ee7245aa8df95c4a","38","No"
"0x6bf83eefd5b6d73481644a3f049616b26b0257b4","35","No"
"0xe28b960e11a438f57d40f3ee64266d2acc4707a2","33","No"
"0x6689679dab35fb3fc50bb4e5fd82c86a62a2cb8d","33","No"
"0xc31d5de74c35674faaaa18887c3671ac5b07c72e","33","No"
"0xf1841d02a6f70820654d914375f8d1d7b66304ea","32","No"
"0x22b98bd46a95ba46a7d53845b3ff252c15b5870f","30","No"
"0x25ea026ec746b43f7a73bd3632fd18d46178a90c","30","No"
"0x7ba6527419152e17d78daccbb89a51ab71c8d200","30","No"
"0xedf1326418a2912e815e134742b9719223e2566a","30","No"
"0x0b3e6e23aa826a0c8a10518bf512d2de5a5eecc4","30","No"
"0xb1d9080628628f29652e3ea18de97e94085a3833","29","No"
"0x1b515f5dba173209f7409268b44ecf82e24aac81","29","No"
"0xe3f7fda32a28d8655904e84df55f1c7a982d67f0","28","No"
"0x960550782966ee4aa1f6451569baab8f288434f4","28","No"
"0x85074968d0ff84f4a0ccc6ee50327ed8f7a8ef32","27","No"
"0x37b9f3b921012d7ce2e181aea99af6d4dd22ada5","26","No"
"0x9fbb12ea7dc6de6503b35da4389db3aecf8e4282","26","No"
"0x35b5d0398429785e5071560252e8a33d0bd57248","26","No"
"0x37eec60a6d731beb8bb08449d8aaf8a1671e6fcb","23","No"
"0x000000000000000000000000000000000000dead","22","No"
"0xb82eb1da53c5e394f8525c7d627dd03640d6bc97","22","No"
"0x84572c31acdd30c03982e27b809d30b1efbcd8f2","22","No"
"0xb0c26305d4f4ef63f97b7d58010bbff3ce9b36b3","22","No"
"0x91b80a7283e67db172241c393d6fa7b927ff4007","22","No"
"0x9b47b8ad2c3848609ee13470ba4286d5c5ff2bf2","22","No"
"0x1668c9725e27bf5943bbd43886e1fb5afe75c46c","21","No"
"0x5afce9c50060c69fd99b0b4ebd3f397da2fffb7f","21","No"
"0x33a58b7a1f46aa945993302f0a7a812888c35dd4","21","No"
"0x984c2ca02454de2250ed0dac78d40787ebfeb95c","20","No"
"0x78d8e8807f652b54afe33b7645a26c5ffae5291c","20","No"
"0x5c9e30def85334e587cf36eb07bdd6a72bf1452d","19","No"
"0x91f893a1859b79a6b36c2936c24b016a680c42c2","19","No"
"0xe420a18a8fb5878efbaea538646bcf2da7529890","19","No"
"0x0e442c7d7db830276ecc7292bc57456309fe1522","18","No"
"0x221b2ce661aa9cb5e936da6fd2bdfd6bbef71ca3","18","No"
"0xaece9d7013c9ad659bd8949195713ae4382449c3","18","No"
"0x69745239a024a2ca95c84c7cc0070bd979fc8691","18","No"
"0x5021ca11545bb39adea9cf8cbbeee9c3182a5c36","17","No"
"0x42b2d7c6aeaec9b592f477761285b26b78140a80","17","No"
"0x613cb17815104287c6412b241836b5778f6b0505","17","No"
"0x4b10da491b54ffe167ec5aaf7046804fada027d2","17","No"
